,CreditGrade,LoanStatus,ProsperScore,EmploymentStatus,StatedMonthlyIncome,MonthlyLoanPayment,LoanOriginalAmount,DebtToIncomeRatio,EstimatedLoss,diff_income_loan
10404,,0,6.0,Employed,8333.333333,80.17,2000,0.22,0.112,6333.3333330000005
10405,,0,9.0,Full-time,6216.666667,74.38,2000,0.09,0.065,4216.666667
10406,,0,1.0,Full-time,3466.666667,172.56,4000,0.35,0.17,-533.333333
10407,,0,5.0,Other,3500.0,86.85,2000,0.16,0.1625,1500.0
10408,,0,4.0,Self-employed,2916.666667,324.54,7500,,0.147,-4583.3333330000005
10409,,0,6.0,Employed,19583.333333000002,402.85,10000,0.12,0.112,9583.333333000002
10410,E,0,,Full-time,3375.0,86.31,2200,0.19,,1175.0
10411,D,0,,Full-time,2052.0,296.74,8500,0.23,,-6448.0
10412,E,0,,Full-time,3000.0,169.47,4500,0.42,,-1500.0
10413,,0,5.0,Employed,2666.666667,173.71,4000,0.2,0.165,-1333.333333
10414,,0,4.0,Employed,3500.0,173.71,4000,0.14,0.165,-500.0
10415,,0,2.0,Employed,2000.0,173.71,4000,,0.165,-2000.0
10416,,0,7.0,Employed,4166.666667,175.72,6000,0.31,0.089,-1833.3333329999996
10417,,0,4.0,Self-employed,2500.0,97.96,2600,,0.183,-100.0
10418,,0,6.0,Other,1202.0,161.67,5000,0.37,0.119,-3798.0
10419,D,0,,Full-time,1150.0,39.23,1000,0.08,,150.0
10420,,0,4.0,Employed,4333.333333,135.71,3000,0.25,0.183,1333.3333329999996
10421,,0,5.0,Full-time,3854.5,173.71,4000,0.12,0.165,-145.5
10422,HR,0,,,2000.0,167.62,4000,0.09,,-2000.0
10423,,0,3.0,Employed,7416.666667,173.71,4000,,0.165,3416.6666670000004
10424,,0,3.0,Employed,2916.666667,171.41,4000,0.6,0.149,-1083.333333
10425,D,0,,Full-time,3774.166667,391.49,10000,0.15,,-6225.8333330000005
10426,D,0,,Full-time,4500.0,110.35,3000,0.17,,1500.0
10427,E,0,,Full-time,3689.5,67.85,1500,0.33,,2189.5
10428,E,0,,Full-time,4333.333333,209.53,5000,0.06,,-666.6666670000004
10429,B,0,,Full-time,2375.0,90.31,2500,0.04,,-125.0
10430,D,0,,Full-time,2483.333333,88.22,2000,0.16,,483.33333300000004
10431,D,0,,Full-time,666.666667,135.71,3000,0.23,,-2333.333333
10432,,0,4.0,Employed,5833.333333,172.76,4000,0.47,0.1575,1833.3333329999996
10433,,0,8.0,Employed,3250.0,103.54,3000,0.12,0.042,250.0
10434,,0,4.0,Employed,1333.333333,151.99,3500,0.11,0.1675,-2166.666667
10435,,0,4.0,Employed,3833.333333,324.54,7500,0.68,0.147,-3666.666667
10436,HR,0,,Full-time,2833.333333,121.85,3150,0.32,,-316.66666699999996
10437,,0,5.0,Employed,2666.666667,305.65,10000,0.34,0.099,-7333.3333330000005
10438,,0,8.0,Retired,2000.0,328.86,9500,0.46,0.0595,-7500.0
10439,B,0,,Full-time,2083.333333,102.94,3000,0.17,,-916.666667
10440,B,0,,Full-time,5833.333333,522.11,15000,0.29,,-9166.666667000001
10441,HR,0,,Full-time,4166.666667,41.91,1000,0.01,,3166.6666670000004
10442,E,0,,Full-time,1863.3333329999998,54.79,1500,0.09,,363.3333329999998
10443,,0,6.0,Employed,2000.0,330.1,8500,0.38,0.1025,-6500.0
10444,E,0,,Full-time,3665.166667,375.17,10095,0.38,,-6429.8333330000005
10445,C,0,,Full-time,3719.5,198.77,5000,0.41,,-1280.5
10446,,0,3.0,Employed,4166.666667,173.71,4000,0.27,0.1675,166.66666700000042
10447,D,0,,Full-time,1344.0,75.35,2000,0.18,,-656.0
10448,C,0,,Full-time,3166.666667,335.04,7500,0.3,,-4333.3333330000005
10449,,0,4.0,Employed,7527.083333,221.86,8000,0.23,0.065,-472.9166670000004
10450,HR,0,,Full-time,1816.6666670000002,226.18,5000,0.12,,-3183.3333329999996
10451,E,0,,Full-time,3841.666667,188.58,4500,0.33,,-658.333333
10452,,0,4.0,Employed,1566.0,286.39,7500,0.34,0.1,-5934.0
10453,AA,0,,Full-time,2333.333333,497.5,15000,0.31,,-12666.666667
10454,,0,8.0,Employed,4233.333333,172.08,5000,0.09,0.0595,-766.6666670000004
10455,,0,9.0,Full-time,3333.333333,233.68,7200,0.4,0.021,-3866.666667
10456,B,0,,Full-time,3083.333333,348.86,10000,0.12,,-6916.6666669999995
10457,HR,0,,Full-time,2166.666667,62.86,1500,0.35,,666.666667
10458,C,0,,Full-time,6300.0,558.22,15000,0.21,,-8700.0
10459,C,0,,Full-time,3333.333333,50.54,1400,0.26,,1933.333333
10460,B,0,,Full-time,3307.75,565.13,15000,0.27,,-11692.25
10461,A,0,,Full-time,10000.0,97.93,3000,0.23,,7000.0
10462,,0,7.0,Full-time,5583.333333,142.87,3500,0.1,0.112,2083.3333329999996
10463,,0,3.0,Employed,4717.0,322.47,7500,0.2,0.13,-2783.0
10464,,0,6.0,Employed,2600.0,98.77,2500,0.18,0.119,100.0
10465,,0,8.0,Employed,6083.333333,71.98,2000,0.12,0.0565,4083.3333329999996
10466,A,0,,Full-time,7966.833333,316.41,9000,0.24,,-1033.1666670000004
10467,,0,7.0,Employed,3416.666667,201.43,5000,0.22,0.112,-1583.333333
10468,,0,7.0,Full-time,5833.333333,204.8,5000,0.24,0.1,833.3333329999996
10469,,0,6.0,Full-time,2835.25,45.24,1000,0.5,0.14,1835.25
10470,AA,0,,Full-time,6666.666667,498.21,15000,0.17,,-8333.333332999999
10471,E,0,,Not available,3000.0,111.68,2700,0.51,,300.0
10472,D,0,,Full-time,2947.0,296.74,8500,0.37,,-5553.0
10473,,0,5.0,Employed,3250.75,305.66,7000,0.25,0.142,-3749.25
10474,,0,7.0,Employed,4078.583333,302.14,7500,0.29,0.108,-3421.416667
10475,B,0,,Full-time,3333.333333,162.82,5000,0.07,,-1666.666667
10476,D,0,,Full-time,4906.333333,139.16,3500,0.03,,1406.3333329999996
10477,,0,3.0,Other,2000.0,136.98,4000,0.37,0.1475,-2000.0
10478,,0,3.0,Employed,3750.0,163.52,4000,0.5,0.1275,-250.0
10479,,0,4.0,Employed,6984.166667,301.49,10959,0.32,0.0624,-3974.8333329999996
10480,A,0,,Full-time,4166.666667,339.3,10000,0.4,,-5833.333333
10481,D,0,,Full-time,10916.666667,131.18,2900,0.13,,8016.6666669999995
10482,E,0,,Full-time,2666.666667,248.8,5500,0.34,,-2833.333333
10483,D,0,,Not available,5000.0,238.56,6000,0.18,,-1000.0
10484,HR,0,,Full-time,6083.333333,141.02,3500,0.06,,2583.3333329999996
10485,D,0,,Full-time,5794.75,86.54,2500,0.24,,3294.75
10486,D,0,,Full-time,3000.0,105.77,3000,0.34,,0.0
10487,,0,7.0,Employed,4908.333333,604.28,15000,0.22,0.108,-10091.666667000001
10488,B,0,,Full-time,5666.666667,144.59,4000,0.32,,1666.6666670000004
10489,AA,0,,Full-time,3000.0,611.05,16000,0.44,,-13000.0
10490,,0,4.0,Employed,3083.333333,173.71,4000,0.15,0.165,-916.666667
10491,,0,7.0,Employed,5500.0,486.38,13000,0.14,0.089,-7500.0
10492,,0,2.0,Employed,3566.666667,95.81,2200,0.26,0.203,1366.666667
10493,D,0,,Full-time,2916.666667,191.73,5000,0.16,,-2083.333333
10494,,0,6.0,Self-employed,2029.1666670000002,190.93,5000,,0.0925,-2970.8333329999996
10495,C,0,,Full-time,4000.0,123.05,3500,0.09,,500.0
10496,A,0,,Not available,3833.333333,32.03,1000,0.29,,2833.333333
10497,,0,8.0,Employed,3500.0,234.96,6500,0.19,0.0595,-3000.0
10498,B,0,,Full-time,3166.666667,222.79,6500,0.23,,-3333.333333
10499,,0,9.0,Employed,11250.0,552.2,25000,0.19,0.0324,-13750.0
10500,,0,7.0,Employed,7083.333333,204.1,5000,0.12,0.112,2083.3333329999996
10501,HR,0,,Not available,3541.666667,55.33,1500,0.14,,2041.666667
10502,,0,5.0,Employed,2083.333333,174.2,4000,0.1,0.183,-1916.666667
10503,,0,6.0,Employed,2145.833333,88.0,2000,0.3,0.142,145.83333300000004
10504,E,0,,Not available,3581.25,82.94,2200,0.37,,1381.25
10505,,0,6.0,Employed,675.0,398.16,15000,1.32,0.052,-14325.0
10506,E,0,,Full-time,3833.333333,161.16,4000,0.16,,-166.66666699999996
10507,D,0,,Full-time,4416.666667,177.99,5000,0.2,,-583.3333329999996
10508,,0,9.0,Full-time,3333.333333,74.23,2000,,0.065,1333.333333
10509,HR,0,,Not available,2916.666667,86.66,2500,0.13,,416.66666699999996
10510,,0,1.0,Self-employed,18750.0,314.25,7500,,0.13,11250.0
10511,,0,4.0,Full-time,4166.666667,224.05,4953,0.11,0.18,-786.3333329999996
10512,,0,4.0,Full-time,5000.0,135.62,3000,0.21,0.18,2000.0
10513,A,0,,Self-employed,7033.333333,827.38,25000,0.16,,-17966.666667
10514,D,0,,Full-time,4833.333333,113.09,2500,0.63,,2333.3333329999996
10515,E,0,,Full-time,3958.333333,67.85,1500,0.38,,2458.333333
10516,,0,6.0,Employed,6250.0,397.55,10000,0.39,0.119,-3750.0
10517,D,0,,,3583.333333,129.36,3500,0.04,,83.33333300000004
10518,A,0,,Self-employed,15416.666667,519.98,15000,0.13,,416.6666669999995
10519,B,0,,Full-time,13750.0,512.66,15000,0.26,,-1250.0
10520,C,0,,Full-time,5166.666667,648.4,17500,0.47,,-12333.333332999999
10521,,0,9.0,Employed,7083.333333,315.26,14099,0.09,0.0274,-7015.666667
10522,,0,3.0,Employed,5000.0,173.71,4000,0.52,0.1725,1000.0
10523,HR,0,,Full-time,6666.666667,125.72,3000,0.14,,3666.6666670000004
10524,D,0,,Full-time,2603.583333,179.49,4967,0.18,,-2363.416667
10525,,0,8.0,Full-time,3000.0,120.87,3000,0.27,0.1,0.0
10526,,0,1.0,Employed,2083.333333,130.28,3000,0.4,0.165,-916.666667
10527,D,0,,Full-time,4166.666667,152.55,4000,0.2,,166.66666700000042
10528,,0,8.0,Full-time,4500.0,123.28,3000,0.08,0.108,1500.0
10529,B,0,,Full-time,2500.0,230.1,6500,0.13,,-4000.0
10530,,0,5.0,Employed,5833.333333,326.62,7500,0.27,0.147,-1666.6666670000004
10531,,0,2.0,Self-employed,5000.0,86.85,2000,,0.165,3000.0
10532,C,0,,Full-time,2916.666667,98.44,2800,0.31,,116.66666699999996
10533,HR,0,,Full-time,2400.0,123.26,3100,0.05,,-700.0
10534,,0,5.0,Employed,3596.666667,173.71,4000,0.18,0.1625,-403.33333300000004
10535,HR,0,,Full-time,3291.666667,98.68,2551,0.03,,740.666667
10536,D,0,,Full-time,4166.666667,46.02,1278,0.4,,2888.6666670000004
10537,,0,7.0,Employed,7083.333333,350.49,8700,0.16,0.108,-1616.6666670000004
10538,,0,5.0,Employed,10416.666667,736.28,21500,0.22,0.0449,-11083.333333
10539,C,0,,Self-employed,7083.333333,413.64,10000,0.06,,-2916.6666670000004
10540,C,0,,Full-time,9250.0,237.61,6000,0.12,,3250.0
10541,C,0,,Self-employed,3916.666667,119.62,3500,0.31,,416.66666699999996
10542,,0,4.0,Employed,3719.166667,151.99,3500,0.28,0.1625,219.16666699999996
10543,,0,6.0,Employed,3333.333333,173.71,4000,0.43,0.1625,-666.666667
10544,B,0,,Full-time,13583.333333,239.16,6899,0.08,,6684.3333330000005
10545,,0,6.0,Employed,6250.0,523.71,13000,0.26,0.108,-6750.0
10546,C,0,,Full-time,12750.0,101.08,3000,0.02,,9750.0
10547,,0,4.0,Employed,2916.666667,130.28,3000,0.66,0.1725,-83.33333300000004
10548,,0,10.0,Other,9166.666667,779.38,25000,0.13,0.013,-15833.333333
10549,,0,3.0,Employed,6416.666667,173.71,4000,0.55,0.1675,2416.6666670000004
10550,,0,5.0,Employed,4766.666667,320.77,7500,0.54,0.147,-2733.3333329999996
10551,,0,3.0,Employed,5333.333333,215.46,5500,0.22,0.1075,-166.66666700000042
10552,,0,5.0,Other,1833.3333329999998,172.6,4000,0.86,0.165,-2166.6666670000004
10553,,0,6.0,Employed,3333.333333,175.27,4500,0.22,0.1025,-1166.666667
10554,HR,0,,Not available,3333.333333,91.64,2500,0.19,,833.333333
10555,HR,0,,Full-time,6333.333333,80.29,1775,0.03,,4558.333333
10556,C,0,,Full-time,7000.0,131.34,3500,0.05,,3500.0
10557,,0,3.0,Other,2000.0,173.71,4000,0.5,0.165,-2000.0
10558,,0,4.0,Self-employed,1557.75,173.71,4000,,0.165,-2442.25
10559,D,0,,Self-employed,4166.666667,209.53,5000,0.23,,-833.3333329999996
10560,HR,0,,Full-time,2300.0,251.43,6000,0.3,,-3700.0
10561,,0,7.0,Self-employed,5000.0,122.46,3000,,0.108,2000.0
10562,,0,8.0,Employed,3166.666667,415.69,11500,0.18,0.0595,-8333.333333
10563,,0,9.0,Full-time,3500.0,98.71,3000,0.27,0.021,500.0
10564,C,0,,Full-time,3333.333333,567.44,15000,0.33,,-11666.666667
10565,C,0,,Full-time,1400.0,176.4,5000,0.27,,-3600.0
10566,,0,7.0,Employed,2083.333333,116.66,4000,0.08,0.089,-1916.666667
10567,C,0,,Full-time,3666.666667,271.42,6000,0.24,,-2333.333333
10568,HR,0,,Full-time,3833.333333,45.34,1100,0.07,,2733.333333
10569,C,0,,Full-time,3883.333333,132.42,4000,0.18,,-116.66666699999996
10570,,0,4.0,Self-employed,1555.833333,86.85,2000,,0.1675,-444.16666699999996
10571,HR,0,,Full-time,4166.666667,134.02,3000,0.19,,1166.6666670000004
10572,,0,9.0,Employed,6583.333333,527.28,15000,0.13,0.0549,-8416.666667000001
10573,,0,2.0,Employed,7916.666667,174.2,4000,0.33,0.165,3916.6666670000004
10574,HR,0,,Full-time,4166.666667,94.78,2551,0.03,,1615.6666670000004
10575,HR,0,,Full-time,2000.0,90.11,2500,0.17,,-500.0
10576,C,0,,Full-time,4166.666667,158.28,4800,0.27,,-633.3333329999996
10577,,0,5.0,Employed,1261.166667,315.59,10000,0.28,0.119,-8738.833333
10578,A,0,,Full-time,7758.333333,555.75,17000,0.17,,-9241.666667000001
10579,A,0,,Self-employed,6250.0,367.92,9900,,,-3650.0
10580,,0,5.0,Self-employed,11666.666667,513.68,15000,,0.0449,-3333.3333330000005
10581,,0,2.0,Employed,3333.333333,130.2,4000,0.15,0.1425,-666.666667
10582,C,0,,Full-time,3500.0,316.34,7500,0.28,,-4000.0
10583,,0,7.0,Employed,7896.083333,302.14,7500,0.08,0.108,396.0833329999996
10584,C,0,,Full-time,9333.333333,92.4,2845,0.34,,6488.3333330000005
10585,,0,9.0,Employed,3000.0,237.37,10000,0.15,0.038,-7000.0
10586,D,0,,Full-time,6437.5,67.38,2000,0.18,,4437.5
10587,,0,9.0,Employed,6000.0,333.59,15000,0.14,0.0195,-9000.0
10588,C,0,,Full-time,10750.0,432.16,10500,0.3,,250.0
10589,D,0,,Part-time,1152.0,76.42,2045,0.28,,-893.0
10590,C,0,,Full-time,2958.0,318.24,9000,0.46,,-6042.0
10591,C,0,,Not available,11250.0,213.92,6000,0.26,,5250.0
10592,E,0,,Full-time,4500.0,113.78,2900,0.23,,1600.0
10593,,0,4.0,Employed,2666.666667,173.71,4000,0.07,0.165,-1333.333333
10594,AA,0,,Full-time,3333.333333,629.21,19500,0.2,,-16166.666667
10595,,0,6.0,Full-time,5833.333333,95.0,2100,0.12,0.14,3733.3333329999996
10596,,0,6.0,Employed,6500.0,306.15,7500,0.26,0.108,-1000.0
10597,HR,0,,Not available,3176.0,34.67,1000,0.12,,2176.0
10598,,0,7.0,Full-time,3750.0,164.91,4000,0.16,0.098,-250.0
10599,,0,4.0,Self-employed,3522.083333,217.74,5000,,0.147,-1477.916667
10600,E,0,,Full-time,8750.0,92.32,2200,0.1,,6550.0
10601,,0,6.0,Employed,3500.0,349.97,12000,0.13,0.089,-8500.0
10602,,0,2.0,Full-time,5416.666667,401.52,10000,,0.105,-4583.333333
10603,A,0,,Full-time,2333.333333,117.93,3500,0.08,,-1166.666667
10604,C,0,,Full-time,7954.0,259.99,7500,0.26,,454.0
10605,HR,0,,Not available,3450.0,139.16,3500,0.16,,-50.0
10606,HR,0,,Full-time,1750.0,87.11,2000,0.15,,-250.0
10607,,0,2.0,Self-employed,3500.0,124.76,4000,,0.1225,-500.0
10608,D,0,,,6666.666667,201.99,5000,0.12,,1666.6666670000004
10609,HR,0,,Full-time,3105.0,87.11,2000,0.08,,1105.0
10610,,0,7.0,Employed,2500.0,352.08,12000,,0.0849,-9500.0
10611,B,0,,Full-time,3047.083333,95.48,2500,0.12,,547.083333
10612,,0,4.0,Employed,2500.0,348.22,12000,0.51,0.085,-9500.0
10613,,0,8.0,Employed,6000.0,120.2,4500,0.18,0.0549,1500.0
10614,,0,8.0,Employed,2083.333333,131.81,4000,0.16,0.1375,-1916.666667
10615,C,0,,Full-time,18998.0,694.03,17000,0.33,,1998.0
10616,AA,0,,Full-time,4000.0,763.81,23500,0.3,,-19500.0
10617,HR,0,,,5833.333333,391.02,10000,0.21,,-4166.666667
10618,D,0,,Full-time,4430.583333,158.33,3500,0.31,,930.5833329999996
10619,,0,5.0,Employed,1833.3333329999998,173.71,4000,0.51,0.165,-2166.6666670000004
10620,,0,6.0,Self-employed,2000.0,135.92,3500,,0.1025,-1500.0
10621,E,0,,Not available,1944.4166670000002,230.48,5500,0.24,,-3555.5833329999996
10622,,0,3.0,Employed,2666.666667,87.1,2000,0.48,0.203,666.666667
10623,C,0,,Full-time,1916.6666670000002,37.68,1000,0.13,,916.6666670000002
10624,E,0,,Full-time,1875.0,226.18,5000,0.37,,-3125.0
10625,A,0,,Full-time,7916.666667,532.11,15000,0.2,,-7083.333333
10626,D,0,,Full-time,7333.333333,265.53,7500,0.33,,-166.66666700000042
10627,,0,5.0,Self-employed,4333.333333,171.08,4000,,0.147,333.3333329999996
10628,HR,0,,Full-time,3083.333333,67.85,1500,0.2,,1583.333333
10629,,0,5.0,Employed,3333.333333,130.28,3000,0.33,0.165,333.33333300000004
10630,,0,4.0,Self-employed,2500.0,173.71,4000,,0.1675,-1500.0
10631,E,0,,Not available,1666.666667,159.04,4000,0.13,,-2333.333333
10632,,0,9.0,Employed,5833.333333,229.01,7000,0.13,0.035,-1166.6666670000004
10633,,0,4.0,Employed,4666.666667,130.28,3000,0.18,0.165,1666.6666670000004
10634,,0,7.0,Employed,14833.333333,187.07,5000,0.08,0.089,9833.333333
10635,,0,4.0,Employed,4750.0,217.74,5000,0.1,0.147,-250.0
10636,C,0,,Full-time,6333.333333,352.22,8800,0.12,,-2466.6666670000004
10637,HR,0,,Not available,3250.0,103.76,2550,0.32,,700.0
10638,HR,0,,Part-time,833.333333,40.83,1000,0.1,,-166.66666699999996
10639,A,0,,,10000.0,700.67,20000,0.32006999999999997,,-10000.0
10640,,0,1.0,Full-time,10416.666667,339.27,7500,0.27,0.366,2916.6666669999995
10641,C,0,,Full-time,6666.666667,132.35,3900,0.06,,2766.6666670000004
10642,,0,9.0,Part-time,2833.333333,41.89,1200,0.03,0.065,1633.333333
10643,,0,5.0,Employed,7616.666667,90.47,2000,0.15,0.183,5616.666667
10644,D,0,,Part-time,1671.0,113.09,2500,0.2,,-829.0
10645,,0,7.0,Full-time,3333.333333,133.4,3300,0.18,0.1,33.33333300000004
10646,HR,0,,Self-employed,1333.333333,42.31,1500,0.1,,-166.66666699999996
10647,,0,6.0,Employed,5666.666667,310.21,8207,0.31,0.0874,-2540.3333329999996
10648,,0,7.0,Full-time,2333.333333,40.29,1000,0.27,0.1,1333.333333
10649,HR,0,,Full-time,4583.333333,113.09,2500,0.28,,2083.3333329999996
10650,,0,,Self-employed,2916.666667,65.57,2000,,,916.666667
10651,,0,4.0,Employed,3750.0,87.1,2000,0.06,0.195,1750.0
10652,,0,9.0,Full-time,5741.666667,93.04,2500,0.27,0.065,3241.6666670000004
10653,HR,0,,Not available,3333.333333,39.23,1000,0.03,,2333.333333
10654,,0,7.0,Employed,2941.666667,146.7,5000,0.22,0.0849,-2058.333333
10655,HR,0,,Full-time,4250.0,66.83,1750,0.07,,2500.0
10656,,0,6.0,Employed,5166.666667,183.69,4500,0.08,0.112,666.6666670000004
10657,B,0,,Self-employed,10000.0,173.33,5000,,,5000.0
10658,C,0,,Full-time,12833.333333,98.57,3000,0.1,,9833.333333
10659,,0,6.0,Employed,5833.333333,37.68,1000,0.15,0.108,4833.333333
10660,,0,5.0,Full-time,2333.333333,273.07,6800,0.14,0.098,-4466.6666669999995
10661,B,0,,Full-time,5916.666667,173.81,5233,0.13,,683.6666670000004
10662,,0,3.0,Employed,4091.333333,416.5,15000,,0.0724,-10908.666667
10663,HR,0,,Full-time,1250.0,193.55,5000,0.4,,-3750.0
10664,,0,6.0,Employed,2916.666667,120.25,3000,0.2,0.112,-83.33333300000004
10665,E,0,,,2000.0,145.72,3500,0.08086,,-1500.0
10666,C,0,,Self-employed,3624.333333,979.81,24000,0.62,,-20375.666667
10667,C,0,,Self-employed,12166.666667,682.33,19000,0.18,,-6833.3333330000005
10668,,0,5.0,Employed,1333.333333,217.24,4988,0.2,0.147,-3654.666667
10669,E,0,,Full-time,5833.333333,84.79,2000,0.26,,3833.3333329999996
10670,A,0,,Self-employed,9166.666667,642.66,17000,,,-7833.3333330000005
10671,D,0,,Full-time,5849.166667,557.45,15000,0.44,,-9150.833332999999
10672,,0,4.0,Other,3333.333333,173.71,4000,0.27,0.165,-666.666667
10673,HR,0,,Full-time,7833.333333,211.71,5000,0.15,,2833.3333329999996
10674,C,0,,Full-time,7500.0,234.18,7000,0.17,,500.0
10675,D,0,,Full-time,2569.583333,226.18,5000,0.8,,-2430.416667
10676,E,0,,Not available,2896.25,40.83,1000,0.22,,1896.25
10677,B,0,,Full-time,4333.333333,453.47,12500,0.17,,-8166.666667
10678,C,0,,Not available,4166.666667,172.1,5000,0.15,,-833.3333329999996
10679,,0,7.0,Employed,4500.0,553.56,15000,0.2,0.087,-10500.0
10680,,0,5.0,Employed,4583.333333,324.54,7500,0.21,0.147,-2916.6666670000004
10681,,0,8.0,Employed,7666.666667,384.58,15000,0.2,0.0595,-7333.333333
10682,,0,6.0,Employed,6250.0,223.56,6000,,0.0799,250.0
10683,D,0,,Full-time,4000.0,198.8,5000,0.25,,-1000.0
10684,HR,0,,Retired,600.0,45.24,1000,0.08,,-400.0
10685,HR,0,,Full-time,2583.333333,90.47,2000,0.51,,583.333333
10686,E,0,,Not available,3941.666667,124.09,3000,0.16,,941.666667
10687,C,0,,Full-time,2500.0,188.4,5000,0.24,,-2500.0
10688,D,0,,Full-time,3916.666667,185.31,5000,0.28,,-1083.333333
10689,B,0,,Full-time,7333.333333,97.16,2551,0.19,,4782.333333
10690,,0,2.0,Employed,1291.666667,86.85,2000,0.33,0.165,-708.333333
10691,,0,1.0,Employed,7916.666667,169.78,4000,0.53,0.149,3916.6666670000004
10692,,0,7.0,Employed,3900.0,259.26,6500,0.22,0.1175,-2600.0
10693,B,0,,Full-time,3916.666667,103.26,3000,0.32,,916.666667
10694,E,0,,Full-time,4583.333333,68.66,1750,0.22,,2833.3333329999996
10695,,0,7.0,Employed,3533.333333,440.09,15000,,0.0849,-11466.666667
10696,D,0,,Full-time,3750.0,113.45,3001,0.05,,749.0
10697,E,0,,Full-time,1083.333333,39.23,1000,0.29,,83.33333300000004
10698,D,0,,Full-time,3833.333333,281.99,7800,0.56,,-3966.666667
10699,,0,9.0,Full-time,9583.333333,319.63,10000,0.24,0.021,-416.6666669999995
10700,D,0,,Not available,500.0,267.33,7000,0.99,,-6500.0
10701,,0,4.0,Employed,4583.333333,139.36,3200,,0.147,1383.3333329999996
10702,E,0,,Full-time,5333.333333,90.47,2000,0.07,,3333.3333329999996
10703,D,0,,Full-time,2083.333333,87.28,2500,0.3,,-416.66666699999996
10704,,0,4.0,Employed,2500.0,108.87,2500,0.32,0.183,0.0
10705,,0,9.0,Employed,1878.3333329999998,142.89,4500,0.15,0.035,-2621.6666670000004
10706,,0,8.0,Full-time,3000.0,155.57,3500,0.11,0.147,-500.0
10707,,0,6.0,Employed,1208.333333,561.21,15000,1.8,0.089,-13791.666667
10708,,0,6.0,Employed,4583.333333,181.28,4500,0.35,0.112,83.33333299999958
10709,C,0,,Full-time,7916.666667,367.88,10000,0.29,,-2083.3333329999996
10710,,0,5.0,Employed,6250.0,182.37,5000,0.27,0.0699,1250.0
10711,C,0,,Full-time,4157.5,162.69,4500,0.21,,-342.5
10712,,0,7.0,Employed,2500.0,437.46,15000,,0.089,-12500.0
10713,HR,0,,Not available,2708.333333,169.75,4400,0.07,,-1691.666667
10714,,0,2.0,Full-time,2500.0,190.83,2000,0.63,0.1405,500.0
10715,HR,0,,Full-time,1583.333333,108.81,2600,0.69,,-1016.666667
10716,,0,6.0,Employed,8333.333333,489.83,15000,0.47,0.112,-6666.6666669999995
10717,,0,4.0,Employed,2416.666667,171.08,4000,,0.147,-1583.333333
10718,,0,6.0,Full-time,4166.666667,347.88,12598,0.28,0.061,-8431.333332999999
10719,,0,2.0,Employed,3333.333333,77.28,2000,0.4,0.099,1333.333333
10720,C,0,,Full-time,2083.333333,119.23,3000,0.84,,-916.666667
10721,,0,5.0,Employed,1316.666667,174.2,4000,0.16,0.147,-2683.333333
10722,HR,0,,Full-time,2416.666667,101.43,2551,0.19,,-134.33333300000004
10723,E,0,,Not available,6500.0,148.94,3900,0.16,,2600.0
10724,HR,0,,Full-time,5416.666667,45.23,1000,0.27,,4416.666667
10725,,0,4.0,Employed,2250.0,45.8,1000,0.08,0.183,1250.0
10726,E,0,,Not available,6250.0,159.46,4600,0.25,,1650.0
10727,E,0,,Not available,458.333333,146.67,3500,0.44,,-3041.666667
10728,,0,4.0,Employed,3916.666667,173.71,4000,0.33,0.165,-83.33333300000004
10729,,0,7.0,Full-time,2083.333333,94.59,2200,0.12,0.13,-116.66666699999996
10730,,0,7.0,Employed,3166.666667,210.89,5000,0.08,0.108,-1833.333333
10731,C,0,,Full-time,833.333333,90.47,2000,1.02,,-1166.666667
10732,B,0,,Full-time,3250.0,312.39,8800,0.2,,-5550.0
10733,,0,1.0,Employed,2916.666667,172.56,4000,0.65,0.17,-1083.333333
10734,,0,6.0,Employed,3358.333333,171.08,4000,0.14,0.147,-641.666667
10735,B,0,,Full-time,5000.0,568.91,15000,0.59,,-10000.0
10736,B,0,,Full-time,5300.0,450.03,12500,0.19,,-7200.0
10737,HR,0,,,2916.666667,99.4,2500,0.03,,416.66666699999996
10738,,0,2.0,Employed,1836.9166670000002,120.0,4000,0.43,0.099,-2163.0833329999996
10739,B,0,,Full-time,5000.0,929.09,25000,0.57,,-20000.0
10740,B,0,,Full-time,13333.333333,734.13,20000,0.28,,-6666.6666669999995
10741,,0,4.0,Retired,1833.3333329999998,45.24,1000,0.02,0.18,833.3333329999998
10742,,0,5.0,Retired,1666.666667,335.8,8500,0.21,0.119,-6833.3333330000005
10743,,0,2.0,Full-time,2500.0,450.0,15000,0.63,0.099,-12500.0
10744,,0,4.0,Employed,3048.75,174.2,4000,0.14,0.183,-951.25
10745,,0,4.0,Employed,5000.0,151.99,3500,0.25,0.165,1500.0
10746,C,0,,Full-time,9416.666667,239.91,6500,0.11,,2916.6666669999995
10747,D,0,,Full-time,6250.0,84.9,2000,0.36,,4250.0
10748,,0,5.0,Employed,2083.333333,178.67,2000,0.14,0.061,83.33333300000004
10749,C,0,,Full-time,2500.0,128.3,3500,0.37,,-1000.0
10750,C,0,,Full-time,2333.333333,85.78,2500,0.08,,-166.66666699999996
10751,,0,6.0,Full-time,2208.333333,56.55,1250,0.63,0.14,958.333333
10752,,0,6.0,Employed,3083.333333,174.2,4000,0.16,0.147,-916.666667
10753,HR,0,,Full-time,2080.0,113.09,2500,0.14,,-420.0
