,CreditGrade,LoanStatus,ProsperScore,EmploymentStatus,StatedMonthlyIncome,MonthlyLoanPayment,LoanOriginalAmount,DebtToIncomeRatio,EstimatedLoss
60826,HR,Chargedoff,,Full-time,5000.0,90.47,2000,0.17,
60827,,Completed,5.0,Full-time,10000.0,240.79,6000,0.25,0.098
60828,A,Completed,,Full-time,4333.333333,47.0,1500,0.08,
60831,,Completed,5.0,Employed,10416.666667,173.71,4000,0.21,0.165
60832,,Completed,8.0,Full-time,2668.833333,116.84,3500,0.3,0.05
60836,E,Completed,,Self-employed,1500.0,35.65,1000,0.21,
60838,D,Chargedoff,,Full-time,5666.666667,108.57,2400,0.09,
60844,,Chargedoff,8.0,Employed,11416.666667,806.56,25000,0.16,0.038
60846,A,Completed,,Full-time,7000.0,248.57,7500,0.65,
60849,,Completed,10.0,Employed,5250.0,77.75,2500,0.18,0.01
60851,AA,Completed,,Full-time,1875.0,138.95,4500,0.29,
60854,,Chargedoff,9.0,Employed,8333.333333,148.13,4700,0.18,0.0174
60855,,Chargedoff,8.0,Employed,3500.0,317.36,10000,0.12,0.108
60858,,Completed,5.0,Full-time,3333.333333,102.05,2500,0.3,0.112
60860,A,Completed,,Full-time,7500.0,678.71,20000,0.25,
60861,E,Completed,,Not available,3000.0,104.1,2550,0.13,
60863,,Completed,4.0,Employed,2916.666667,264.05,10000,0.16,0.0674
60865,,Completed,8.0,Full-time,7000.0,319.63,10000,0.23,0.021
60866,AA,Completed,,Not available,2317.416667,92.91,3000,0.04,
60868,C,Completed,,Part-time,833.333333,100.4,3500,0.24,
60869,,Completed,6.0,Other,5000.0,184.31,2000,0.27,0.107
60870,E,Completed,,Full-time,1500.0,43.83,1000,0.41,
60875,,Chargedoff,8.0,Employed,15833.333333,285.74,7000,0.12,0.108
60876,,Completed,9.0,Part-time,916.666667,157.01,5000,1.03,0.021
60877,,Completed,9.0,Full-time,3333.333333,52.29,1500,0.22,0.065
60886,,Chargedoff,5.0,Employed,2000.0,129.82,3000,0.23,0.147
60889,HR,Completed,,Full-time,2000.0,67.98,3000,0.44,
60890,D,Chargedoff,,Full-time,5166.666667,278.32,7000,0.06,
60892,,Completed,7.0,Full-time,4916.666667,60.64,1500,0.23,0.1
60898,,Completed,7.0,Employed,6666.666667,102.05,2500,0.12,0.112
60900,HR,Completed,,,1600.0,34.67,1000,0.02792,
60903,C,Completed,,Full-time,5833.333333,193.6,6000,0.09,
60904,,Completed,,Full-time,7821.416667,87.97,2250,0.22,
60905,HR,Chargedoff,,Not available,5416.666667,356.2,8500,0.07,
60907,E,Completed,,Full-time,5000.0,0.0,3000,0.36,
60910,C,Completed,,Full-time,5108.333333,115.42,3500,0.19,
60914,B,Completed,,Full-time,1416.666667,273.97,9000,0.38,
60915,,Completed,6.0,Employed,6041.666667,517.71,15000,0.37,0.042
60924,HR,Chargedoff,,Not available,2833.333333,50.29,1200,0.17,
60929,C,Completed,,Full-time,6750.0,376.75,10000,0.17,
60932,B,Completed,,,5000.0,336.94,10000,0.28,
60934,AA,Completed,,Full-time,0.0,149.85,5000,,
60935,,Completed,9.0,Full-time,8541.666667,36.76,1000,0.44,0.065
60938,,Completed,9.0,Full-time,6258.916667,258.89,8000,0.08,0.021
60939,B,Completed,,Full-time,4583.333333,170.4,5000,0.13,
60940,,Completed,5.0,Other,2596.0,326.62,7500,0.55,0.147
60941,,Completed,8.0,Employed,5666.666667,1043.92,12000,0.28,0.0274
60944,HR,Completed,,Not available,1836.5,57.21,1500,0.27,
60949,,Chargedoff,5.0,Employed,2150.0,289.54,10000,0.3,0.0975
60950,HR,Chargedoff,,Full-time,1668.0,162.12,4000,0.17,
60951,HR,Chargedoff,,Not available,879.0,104.04,2550,0.3,
60953,,Completed,2.0,Employed,2083.333333,195.0,6500,0.33,0.099
60954,HR,Completed,,Full-time,2950.0,45.24,1000,0.24,
60956,A,Completed,,Full-time,5500.0,31.11,1000,0.08,
60957,C,Completed,,Full-time,6000.0,341.72,9000,0.09,
60961,,Completed,10.0,Employed,5625.0,590.93,19000,0.13,0.01
60962,,Completed,6.0,Full-time,4833.333333,259.74,6300,,0.098
60963,,Chargedoff,9.0,Full-time,5833.333333,191.36,6000,0.29,0.021
60964,A,Chargedoff,,Full-time,2992.0,341.53,9000,0.12,
60971,C,Completed,,Full-time,4340.083333,83.68,2500,0.17,
60972,E,Completed,,Not available,6666.666667,53.25,1500,0.12,
60976,,Completed,8.0,Employed,3333.333333,155.31,4500,0.13,0.042
60982,E,Completed,,Not available,3660.0,89.03,2300,0.2,
60983,B,Completed,,Full-time,1750.0,138.5,4200,0.25,
60985,,Completed,5.0,Full-time,6258.333333,112.17,2500,0.09,0.142
60986,AA,Completed,,,16666.666666999998,94.69,3000,0.01,
60987,,Completed,2.0,Retired,2083.333333,235.94,6500,0.46,0.25
60988,D,Chargedoff,,Full-time,4166.666667,387.1,10000,0.09,
60989,,Completed,1.0,Employed,11000.0,173.71,4000,0.34,0.1675
60991,AA,Completed,,Full-time,7144.916667,263.27,8500,0.16,
60994,,Completed,4.0,Employed,5416.666667,421.48,15000,0.36,0.0874
60997,HR,Chargedoff,,Full-time,4269.0,62.86,1500,0.19,
60998,,Completed,6.0,Full-time,3666.666667,272.39,6500,0.33,0.147
60999,,Completed,8.0,Employed,5000.0,229.5,7000,0.09,0.02
61000,D,Completed,,Full-time,3250.0,239.75,7000,0.26,
61001,,Completed,4.0,Full-time,4000.0,67.85,1500,0.37,0.183
61003,E,Chargedoff,,Full-time,5833.333333,120.87,3000,0.16,
61006,B,Chargedoff,,Full-time,9000.0,557.45,15000,0.29,
61007,,Completed,10.0,Employed,11250.0,508.3,15000,0.1,0.0495
61009,,Completed,9.0,Employed,12083.333333,0.0,5000,0.12,0.0325
61011,,Completed,6.0,Employed,7833.333333,232.02,7105,0.11,0.112
61012,D,Chargedoff,,Full-time,2500.0,73.39,2000,0.22,
61014,D,Completed,,Full-time,3318.083333,134.02,3000,0.16,
61018,C,Completed,,Not available,2513.333333,318.37,9000,0.19,
61020,,Completed,5.0,Employed,10416.666667,250.84,10500,0.13,0.0474
61021,,Chargedoff,2.0,Employed,5833.333333,174.2,4000,0.23,0.165
61025,,Completed,10.0,Employed,9166.666667,572.49,24500,0.22,0.0424
61026,AA,Completed,,Full-time,7333.333333,254.14,7800,0.13,
61029,A,Completed,,Self-employed,4166.666667,497.95,15000,0.51,
61030,,Chargedoff,8.0,Employed,3333.333333,103.94,2500,0.07,0.1375
61035,AA,Completed,,Full-time,2083.333333,49.69,1540,0.8,
61036,,Chargedoff,4.0,Full-time,1166.666667,86.28,2000,0.22,0.183
61037,B,Chargedoff,,Self-employed,2847.166667,178.26,5000,0.06,
61039,,Chargedoff,4.0,Self-employed,3333.333333,173.71,4000,,0.165
61041,B,Completed,,Full-time,10000.0,554.65,16000,0.13,
61043,,Completed,5.0,Employed,3541.666667,152.42,3500,0.4,0.147
61047,E,Completed,,Full-time,0.0,205.61,5000,,
61049,,Chargedoff,5.0,Employed,5833.333333,476.04,15000,,0.112
61050,,Chargedoff,6.0,Self-employed,2500.0,367.38,9000,,0.112
61054,B,Completed,,,458.333333,87.77,2550,1.75,
61055,B,Completed,,Full-time,6250.0,242.0,7500,0.17,
61057,D,Chargedoff,,Full-time,24583.333333000002,226.18,5000,0.09,
61061,,Completed,10.0,Full-time,1875.0,0.0,1000,0.54,0.021
61062,,Completed,10.0,Full-time,6083.333333,156.91,5000,0.15,0.006
61067,AA,Completed,,Self-employed,6833.333333,127.2,4000,0.17,
61072,B,Completed,,Not available,7083.333333,68.35,2000,0.14,
61076,C,Chargedoff,,Full-time,4409.333333,170.43,4990,0.29,
61079,,Completed,7.0,Full-time,6666.666667,161.7,4000,0.06,0.1
61085,,Chargedoff,7.0,Employed,2500.0,102.05,2500,,0.108
61086,,Completed,3.0,Employed,7250.0,440.8,15000,0.2,0.1025
61087,B,Chargedoff,,Full-time,8287.5,169.92,4700,0.19,
61088,,Completed,9.0,Full-time,1400.0,0.0,1500,,0.021
61089,D,Completed,,Full-time,4500.0,392.33,10000,0.15,
61090,C,Chargedoff,,Full-time,9030.0,610.34,17000,0.38,
61091,,Chargedoff,4.0,Employed,7666.666667,160.83,4100,0.23,0.1
61092,A,Completed,,Full-time,4500.0,59.54,1900,0.25,
61095,,Completed,9.0,Employed,7500.0,347.96,16000,0.19,0.0199
61100,E,Chargedoff,,Full-time,3333.333333,209.53,5000,0.19,
61102,AA,Completed,,Full-time,4500.0,30.4,1000,0.01,
61108,HR,Chargedoff,,Full-time,1994.0833329999998,59.24,1500,0.03,
61110,A,Completed,,Full-time,6683.333333,529.39,15600,0.27,
61112,,Chargedoff,5.0,Employed,4.3333330000000005,279.2,8550,10.01,0.112
61114,A,Completed,,Full-time,3166.666667,94.7,3000,0.04,
61116,,Completed,10.0,Full-time,3500.0,33.69,1000,0.53,0.065
61124,D,Chargedoff,,Full-time,5416.666667,87.47,2200,0.14,
61125,,Completed,8.0,Employed,6000.0,92.43,2600,0.18,0.0599
61126,D,Chargedoff,,Self-employed,2000.0,110.59,2800,0.12,
61127,,Completed,7.0,Employed,1733.3333329999998,142.91,4000,0.3,0.098
61128,,Chargedoff,7.0,Employed,1500.0,80.57,2000,0.06,0.108
61129,,Completed,7.0,Employed,2583.333333,74.83,2000,0.2,0.089
61132,,Completed,5.0,Full-time,4583.333333,186.43,5000,0.35,0.085
61134,B,Chargedoff,,Full-time,3250.0,226.18,5000,0.24,
61137,,Chargedoff,3.0,Employed,6250.0,171.98,4000,0.09,0.149
61138,C,Chargedoff,,Full-time,0.083333,329.9,9000,10.01,
61139,E,Completed,,Full-time,2500.0,120.95,3000,0.53,
61140,,Completed,7.0,Employed,2250.0,113.01,3000,0.2,0.089
61143,,Completed,9.0,Full-time,15416.666667,0.0,8000,0.17,0.0224
61148,AA,Completed,,Full-time,8333.333333,157.58,5000,0.03,
61149,,Completed,5.0,Full-time,7916.666667,269.73,3000,0.18,0.0699
61151,AA,Completed,,Full-time,6916.666667,61.75,2000,0.03,
61153,A,Chargedoff,,Full-time,3135.25,327.39,10000,0.29,
61157,,Completed,9.0,Employed,10500.0,404.54,15000,0.13,0.0565
61158,B,Chargedoff,,Full-time,0.0,103.64,3000,,
61159,B,Chargedoff,,,10000.0,175.17,5000,0.11352000000000001,
61162,,Completed,8.0,Employed,4908.333333,484.63,14000,0.16,0.0595
61165,C,Completed,,Full-time,4166.666667,86.68,2500,0.43,
61166,,Chargedoff,8.0,Employed,7916.666667,516.24,15000,0.2,0.0595
61167,,Completed,10.0,Employed,6958.333333,301.38,3500,0.11,0.02
61170,D,Completed,,Full-time,2416.666667,53.29,2000,0.23,
61178,D,Chargedoff,,Full-time,3333.333333,127.4,3001,0.24,
61180,,Completed,8.0,Full-time,6971.833333,782.94,9000,0.22,0.0274
61183,D,Chargedoff,,Full-time,1120.0,108.46,3000,0.16,
61184,C,Chargedoff,,Self-employed,2000.0,306.87,8500,0.24,
61185,D,Completed,,Full-time,4633.25,117.35,3000,0.14,
61190,,Completed,10.0,Employed,5298.0,373.87,16000,0.26,0.0424
61192,,Completed,6.0,Employed,5166.666667,437.46,15000,0.31,0.089
61193,,Chargedoff,8.0,Other,6833.333333,284.39,8000,0.14,0.0599
61196,,Completed,9.0,Full-time,2250.0,78.04,2200,0.26,0.065
61197,D,Chargedoff,,Full-time,3350.0,224.51,6000,0.32,
61199,HR,Completed,,Not available,3333.333333,36.15,1000,0.13,
61200,D,Completed,,,2708.333333,114.89,3400,0.13657,
61201,,Chargedoff,4.0,Employed,3364.666667,173.71,4000,0.07,0.1625
61202,,Completed,9.0,Employed,4083.333333,241.97,7500,0.14,0.033
61203,B,Chargedoff,,Full-time,5583.333333,273.97,8000,0.26,
61204,AA,Completed,,Not available,4734.833333,155.3,5000,0.12,
61205,,Chargedoff,4.0,Employed,4166.666667,389.61,13000,0.71,0.085
61208,,Completed,4.0,Other,1333.333333,45.24,1000,,0.183
61211,E,Completed,,Full-time,3408.333333,54.28,1200,0.22,
61213,,Completed,3.0,Full-time,4000.0,82.58,2000,,0.1325
61214,,Chargedoff,7.0,Employed,4000.0,193.48,4500,0.37,0.13
61219,,Completed,8.0,Employed,3000.0,181.1,5010,0.21,0.0595
61220,,Chargedoff,3.0,Self-employed,2640.0,174.2,4000,,0.203
61221,,Completed,6.0,Employed,5166.666667,274.97,3000,0.25,0.0975
61222,E,Completed,,Full-time,2500.0,139.16,3500,1.03,
61225,B,Completed,,Full-time,6000.0,261.72,8000,0.19,
61228,,Completed,2.0,Employed,5833.333333,163.56,4000,0.05,0.1275
61229,B,Completed,,Self-employed,7788.333333,479.86,15500,0.18,
61231,,Completed,7.0,Employed,8333.333333,513.68,15000,0.16,0.0449
61232,,Chargedoff,5.0,Employed,6500.0,472.77,5000,0.11,0.108
61233,B,Chargedoff,,Full-time,9036.833333,513.36,14500,0.33,
61234,D,Chargedoff,,Not available,5216.666667,290.35,8377,0.15,
61235,,Completed,8.0,Full-time,9833.333333,229.02,10000,0.16,0.026
61237,AA,Completed,,Retired,2083.333333,63.88,2000,0.45,
61241,,Completed,4.0,Employed,3333.333333,171.23,5000,0.33,0.147
61242,A,Completed,,Full-time,2875.083333,503.03,15000,0.81,
61246,D,Chargedoff,,Full-time,2208.333333,135.26,2990,0.33,
61247,C,Completed,,Full-time,3833.333333,81.7,3000,0.24,
61248,C,Completed,,Full-time,4583.333333,94.66,2551,0.24,
61250,,Completed,4.0,Employed,2791.666667,147.64,4000,0.26,0.0824
61252,B,Completed,,Full-time,6250.0,215.67,5000,0.39,
61253,,Completed,5.0,Self-employed,5583.333333,54.79,1500,,0.18
61254,,Completed,5.0,Employed,6250.0,261.0,7000,0.28,0.085
61258,,Completed,10.0,Full-time,6545.0,36.61,1000,0.11,0.065
61262,E,Completed,,Full-time,3666.666667,116.17,2850,0.39,
61264,,Completed,10.0,Full-time,7708.333333,78.33,2500,0.13,0.01
61265,AA,Completed,,Full-time,4583.333333,62.21,2000,0.02,
61267,C,Completed,,Full-time,5000.0,273.59,7500,0.29,
61268,HR,Completed,,,2291.666667,37.55,1000,,
61274,,Completed,9.0,Full-time,2083.333333,0.0,2600,,0.021
61276,AA,Completed,,Full-time,4750.0,318.14,10000,0.12,
61277,E,Completed,,Full-time,2775.0,64.38,2200,0.12,
61278,,Completed,4.0,Employed,2916.666667,113.09,2500,,0.183
61280,E,Completed,,Full-time,2500.333333,190.95,5000,0.19,
61282,C,Completed,,,4833.333333,105.42,3300,0.07706,
61286,,Completed,6.0,Full-time,3000.0,217.13,4800,0.18,0.147
61287,C,Completed,,,5833.333333,102.53,3000,0.23,
61289,,Completed,9.0,Self-employed,7500.0,109.13,3500,,0.0149
61290,D,Completed,,Full-time,7333.333333,104.77,3001,0.14,
61292,,Completed,9.0,Employed,13750.0,474.75,20000,0.18,0.038
61293,,Completed,8.0,Employed,1776.6666670000002,144.59,4000,0.15,0.0595
61295,,Completed,5.0,Employed,5000.0,214.98,5000,0.39,0.13
61297,,Completed,5.0,Employed,3864.166667,104.52,2400,0.36,0.142
61299,,Completed,8.0,Employed,7916.666667,216.88,6000,0.1,0.0595
61301,,Completed,10.0,Employed,4166.666667,140.29,4500,0.15,0.013
61303,AA,Completed,,Full-time,3416.666667,159.0,5000,0.22,
61305,,Chargedoff,6.0,Employed,3083.333333,394.91,10000,0.47,0.105
61308,,Chargedoff,4.0,Employed,3500.0,108.57,2500,0.38,0.1675
61310,,Chargedoff,2.0,Employed,1833.3333329999998,172.6,4000,0.4,0.165
61311,B,Completed,,Full-time,3157.916667,171.37,5000,0.32,
61313,,Completed,8.0,Full-time,2416.666667,72.29,2000,0.18,0.077
61315,C,Completed,,Full-time,5833.333333,30.99,1000,0.04,
61318,E,Chargedoff,,Full-time,2426.666667,135.61,3000,0.33,
61320,,Completed,8.0,Employed,8916.666667,806.56,25000,0.22,0.038
61322,,Completed,7.0,Part-time,333.333333,60.64,1500,0.79,0.1
61323,D,Completed,,Full-time,5583.333333,113.97,2900,0.1,
61326,A,Completed,,Full-time,1037.583333,155.86,4500,0.37,
61330,D,Completed,,Not available,2500.0,140.43,4000,0.07,
61331,HR,Chargedoff,,Retired,1016.0,40.29,1000,0.04,
61332,C,Completed,,Full-time,2333.333333,402.59,10000,0.38,
61337,A,Completed,,Full-time,5000.0,392.18,11000,0.31,
61338,,Completed,7.0,Employed,2750.0,210.89,5000,0.31,0.108
61341,,Completed,10.0,Employed,12833.333333,631.39,18500,0.09,0.038
61344,A,Completed,,Full-time,4040.416667,78.34,2500,0.04,
61346,AA,Completed,,Not available,6250.0,157.5,4990,0.04,
61349,A,Completed,,Full-time,2250.0,193.63,6000,0.3,
61353,,Completed,8.0,Full-time,3750.0,98.06,3000,0.17,0.0299
61355,,Completed,9.0,Employed,6416.666667,359.87,11000,0.22,0.035
61356,C,Chargedoff,,Full-time,7000.0,366.56,10000,0.22,
61358,A,Chargedoff,,,8333.333333,346.65,10000,0.254,
61359,E,Completed,,Self-employed,8500.0,332.86,9950,,
61362,HR,Chargedoff,,Not available,3250.0,42.56,1300,0.01,
61363,AA,Completed,,Full-time,6343.0,254.96,8000,0.28,
61366,HR,Completed,,Not available,1500.0,0.0,1000,0.05,
61367,,Completed,6.0,Employed,7333.333333,167.82,4000,0.17,0.1425
61368,E,Completed,,Full-time,1500.0,102.39,3001,0.53,
61370,,Chargedoff,6.0,Employed,6666.666667,117.15,4000,0.14,0.0925
61372,AA,Completed,,Not available,5833.333333,77.42,2500,0.02,
61373,,Completed,5.0,Employed,8166.666667,283.36,3000,0.19,0.1425
61374,C,Completed,,,2500.0,137.68,4000,0.19,
61375,AA,Completed,,Full-time,5000.0,154.96,5000,0.28,
61376,B,Chargedoff,,Full-time,3300.0,265.53,7500,0.44,
61377,A,Completed,,Full-time,3750.0,498.21,15000,0.26,
61381,,Completed,2.0,Employed,3333.333333,130.65,3000,0.44,0.165
61384,B,Completed,,Full-time,2666.666667,176.53,5000,0.74,
61385,,Completed,9.0,Employed,4583.333333,481.17,20000,0.13,0.033
61390,B,Completed,,Full-time,2750.0,339.59,10000,0.25,
61391,A,Chargedoff,,Full-time,1332.416667,43.7,1400,0.16,
61393,D,Chargedoff,,Full-time,4666.666667,263.49,7500,0.2,
61398,C,Chargedoff,,Full-time,4000.0,140.63,4000,0.04,
61399,D,Chargedoff,,Full-time,6250.0,45.72,1250,0.21,
61400,A,Chargedoff,,Not available,15459.333333,831.43,25000,0.15,
61402,A,Completed,,,12500.0,846.84,25000,0.17,
61404,,Completed,7.0,Employed,6583.333333,498.06,5500,0.29,0.0799
61406,A,Completed,,Full-time,3333.333333,210.5,6500,0.1,
61410,,Completed,8.0,Employed,3166.666667,340.24,10500,0.38,0.026
61411,D,Completed,,Not available,5300.0,259.99,7500,0.4,
61412,AA,Completed,,,11666.666667,381.69,12500,0.14354,
61413,AA,Completed,,Full-time,8750.0,370.8,11500,0.15,
61414,D,Completed,,Full-time,7852.75,153.8,4000,0.15,
61415,,Chargedoff,1.0,Self-employed,16666.666666999998,715.6,7500,,0.1405
61417,,Chargedoff,4.0,Employed,5583.333333,549.99,15000,0.32,0.065
61418,A,Chargedoff,,Full-time,2083.333333,171.13,5000,0.24,
61427,,Completed,6.0,Full-time,2416.666667,64.5,1500,0.1,0.14
61428,,Completed,9.0,Other,5958.333333,358.36,10500,,0.038
61429,,Chargedoff,6.0,Not employed,0.0,167.82,4000,,0.1425
61436,HR,Chargedoff,,,3068.916667,104.42,2500,0.3,
61437,,Completed,4.0,Employed,4666.666667,93.14,2550,0.41,0.065
61438,,Chargedoff,5.0,Employed,4333.333333,473.39,15000,0.27,0.119
61441,E,Chargedoff,,,6250.0,342.26,9500,0.12,
61443,AA,Completed,,Full-time,66666.666667,645.34,20000,0.03,
61445,C,Chargedoff,,Full-time,2583.333333,33.21,1000,0.38,
61446,,Completed,7.0,Employed,5000.0,159.55,4000,0.17,0.1175
61447,,Completed,4.0,Self-employed,8333.333333,305.29,10000,,0.1
61452,C,Chargedoff,,Self-employed,2500.0,207.23,6000,0.12,
61455,B,Completed,,Not available,7689.666667,293.92,22000,0.32,
61456,C,Completed,,Full-time,66.666667,23.21,1000,0.73,
61459,,Completed,6.0,Full-time,6666.666667,40.58,1000,0.32,0.14
61460,C,Completed,,Full-time,3583.333333,120.87,3000,0.31,
61462,D,Completed,,Full-time,3458.333333,126.45,3500,0.13,
61466,A,Completed,,Full-time,2083.333333,62.79,2000,0.03,
61467,HR,Chargedoff,,Full-time,5416.666667,108.95,2600,0.24,
61468,C,Completed,,Full-time,7083.333333,146.15,4500,0.24,
61469,HR,Completed,,Full-time,3750.0,159.14,3800,0.06,
61478,B,Completed,,Full-time,10000.0,170.89,5000,0.18,
61479,,Chargedoff,5.0,Employed,2000.0,195.97,4500,0.13,0.147
61482,,Completed,8.0,Employed,3418.666667,577.23,17000,0.22,0.038
61484,,Completed,6.0,Employed,7866.666667,322.55,3500,0.07,0.107
61486,,Completed,3.0,Self-employed,2000.0,421.15,4500,,0.1
61487,A,Completed,,Full-time,2083.333333,109.84,3500,0.32,
61489,,Completed,8.0,Employed,2500.0,54.31,2000,0.15,0.0649
61490,,Completed,9.0,Employed,17916.666666999998,417.89,13000,0.12,0.0249
61491,,Completed,9.0,Retired,4948.0,298.97,9500,0.33,0.0325
61495,,Completed,8.0,Employed,15000.0,420.18,11386,0.07,0.087
61497,,Completed,8.0,Employed,8970.833333,529.28,15000,0.27,0.0565
61498,E,Completed,,Self-employed,0.0,0.0,1000,,
61501,,Completed,7.0,Employed,3750.0,159.55,4000,0.18,0.1175
61506,,Completed,5.0,Employed,2516.333333,85.99,2000,0.27,0.13
61507,A,Completed,,Full-time,3524.5,179.54,5500,0.1,
61508,,Completed,9.0,Full-time,3500.0,74.43,2000,0.21,0.065
61510,,Completed,9.0,Full-time,5000.0,388.84,12000,0.33,0.026
61511,,Completed,6.0,Employed,2750.0,84.44,2000,0.22,0.147
61512,,Completed,9.0,Full-time,7916.666667,55.65,1750,0.06,0.021
61515,B,Completed,,Full-time,1916.6666670000002,50.71,3000,0.36,
61516,D,Chargedoff,,Full-time,1463.416667,362.81,9500,0.56,
61517,,Completed,6.0,Employed,8083.333333,190.08,2000,0.23,0.112
61520,C,Completed,,Full-time,2583.333333,270.02,7500,0.17,
61522,HR,Chargedoff,,Not available,1300.0,74.33,2000,0.06,
61525,AA,Completed,,Full-time,10092.333333,312.96,10000,0.08,
61526,,Chargedoff,4.0,Employed,2916.666667,98.07,2500,0.4,0.1
61528,C,Completed,,Full-time,1850.0,176.73,5500,0.34,
61531,,Chargedoff,8.0,Employed,12333.333333,665.69,25000,0.25,0.0599
61533,HR,Completed,,Full-time,3916.666667,226.09,6001,0.29,
61535,,Chargedoff,7.0,Full-time,45833.333332999995,226.6,5700,0.01,0.098
61539,,Completed,9.0,Employed,3500.0,162.28,5000,0.11,0.038
61540,D,Completed,,,3750.0,69.17,2000,0.1,
61543,HR,Completed,,,5416.666667,101.28,2500,0.08,
61545,E,Completed,,Full-time,2333.333333,39.18,1000,0.15,
61546,E,Chargedoff,,Full-time,4250.0,135.71,3000,0.13,
61547,,Completed,8.0,Employed,5000.0,270.76,3000,0.06,0.0595
61551,,Completed,8.0,Full-time,10833.333333,246.61,7500,0.08,0.015
61552,HR,Completed,,Not available,3583.333333,55.71,1500,0.35,
61553,A,Completed,,Full-time,3333.333333,30.97,1000,0.15,
61554,AA,Completed,,Self-employed,0.0,167.72,5000,,
61556,,Completed,8.0,Employed,4833.333333,263.37,11500,0.3,0.026
61559,,Completed,4.0,Employed,3166.666667,316.65,7000,0.29,0.183
61560,D,Chargedoff,,Not available,4583.333333,339.08,9000,0.14,
61561,HR,Completed,,Full-time,3000.0,73.15,5000,0.35,
61563,D,Completed,,Full-time,3333.333333,274.04,7500,0.22,
61565,,Completed,8.0,Full-time,4083.333333,208.17,5000,0.58,0.1
61567,,Completed,10.0,Full-time,6250.0,77.31,2500,0.13,0.006
61570,A,Completed,,Not available,4416.666667,84.06,2550,0.23,
61575,,Chargedoff,5.0,Employed,2083.333333,158.03,4000,0.32,0.119
61576,HR,Completed,,Full-time,4458.333333,108.96,2500,0.11,
61578,AA,Completed,,Full-time,10000.0,841.15,25000,0.14,
61580,B,Completed,,Full-time,4697.5,727.97,21000,0.5,
61581,D,Completed,,Full-time,3583.333333,88.39,3001,0.39,
61583,C,Completed,,Full-time,2833.333333,59.46,1600,0.2,
61585,,Completed,9.0,Full-time,10000.0,127.57,4000,0.21,0.021
61587,,Completed,2.0,Employed,4000.0,123.0,4000,0.21,0.1175
61588,,Completed,5.0,Employed,241.666667,87.33,2000,3.66,0.142
61590,,Chargedoff,6.0,Full-time,2647.416667,121.59,3000,0.15,0.1
61594,A,Completed,,Full-time,0.0,84.98,2900,,
61595,A,Completed,,,13750.0,433.32,12500,0.12,
61596,,Completed,1.0,Employed,6666.666667,173.71,4000,0.24,0.1675
61598,A,Completed,,Full-time,7083.333333,366.46,10000,0.16,
61599,,Completed,8.0,Full-time,7166.666667,383.27,12000,0.2,0.015
61600,,Chargedoff,4.0,Self-employed,3000.0,719.0,7500,,0.147
61604,,Completed,8.0,Employed,4166.666667,145.23,4250,0.05,0.0595
61606,,Completed,3.0,Employed,15000.0,0.0,2000,0.2,0.1025
61607,C,Completed,,Not employed,0.0,90.38,2500,,
61608,A,Completed,,Not available,2166.666667,333.57,9900,0.55,
61610,,Chargedoff,4.0,Employed,3750.0,173.71,4000,0.06,0.165
61611,D,Completed,,Full-time,1750.0,77.58,2000,0.29,
61614,C,Completed,,Not available,3928.583333,86.91,2550,0.08,
61617,A,Completed,,Full-time,20833.333333000002,31.34,1000,0.12,
61622,,Completed,3.0,Full-time,6083.333333,36.87,2500,0.07,0.18
61623,,Completed,8.0,Employed,3750.0,295.25,7000,0.34,0.108
61626,,Completed,6.0,Employed,3541.666667,557.38,15000,,0.087
61627,,Completed,7.0,Full-time,4166.666667,336.94,10000,,0.015
61629,B,Completed,,Retired,2382.666667,234.5,7000,0.33,
61631,,Completed,4.0,Employed,10416.666667,173.71,4000,0.09,0.165
61632,C,Completed,,,10833.333333,248.3,11000,0.08,
61633,A,Completed,,Full-time,5252.0,161.13,5000,0.39,
61634,B,Completed,,Full-time,8329.0,202.74,6000,0.14,
61636,,Chargedoff,4.0,Self-employed,3750.0,183.25,5000,,0.0724
61640,HR,Completed,,Full-time,2500.0,41.91,1000,0.08,
61643,,Completed,6.0,Employed,4166.666667,205.14,6500,0.13,0.119
61644,B,Completed,,Not available,4416.666667,32.38,1000,0.07,
61645,,Completed,6.0,Employed,27500.0,403.16,11000,0.11,0.061
61647,,Completed,8.0,Employed,3750.0,321.45,10000,0.27,0.0249
61649,E,Chargedoff,,Full-time,3537.666667,96.71,2500,0.65,
61650,,Completed,7.0,Employed,4166.666667,190.08,2000,0.17,0.112
61652,,Completed,10.0,Employed,6583.333333,231.56,11000,0.16,0.0155
61654,,Chargedoff,7.0,Employed,4443.916667,568.83,15000,0.2,0.089
61655,,Chargedoff,7.0,Employed,3333.333333,259.92,6900,0.22,0.0849
61659,,Completed,7.0,Retired,2500.0,42.15,1000,,0.1
61663,,Completed,9.0,Employed,6333.333333,97.21,3000,0.1,0.026
61665,B,Completed,,Part-time,166.666667,32.03,1000,0.25,
61667,,Completed,9.0,Full-time,4166.666667,91.86,2650,0.24,0.021
61668,D,Completed,,Full-time,833.333333,81.75,3500,0.31,
61669,,Completed,9.0,Self-employed,6250.0,47.48,1500,,0.021
61670,,Chargedoff,7.0,Employed,1666.666667,42.18,1000,,0.108
61672,D,Completed,,Full-time,2000.0,226.99,7700,0.31,
61673,D,Completed,,Retired,782.0,34.67,1000,0.09,
